ID,Distributor Name,Location,Car Name,Manufacturer Name,Car Type,Color,Gearbox,Number of Seats,Number of Doors,Energy,Manufactured Year,Price,Mileage,Engine Power,Purchased Date,Car Sale Status,Sold Date,Purchased Price,Sold Price,Margin,Sales Agent Name,Sales Rating,Sales Commission,Feedback
FU5ZYN,Carsome,Philadelphia,Seltos,Kia,Hatchback,Red,Manual,4,5,Electric,2017,8200,3654,93,2015-04-12,Un Sold,,7583,,,Agent C,3,0,Excellent
CV70Z3,APE,Tucson,Scorpio,Mahindra,SUV,Gray,Manual,4,4,Hybrid,2024,8500,1338,106,2020-01-26,Un Sold,,7816,,,Agent A,2,0,Excellent
WPS19X,Olx,Chicago,Scorpio,Mahindra,SUV,Gray,Automatic,2,4,Petrol,2017,8200,40693,96,2015-10-11,Un Sold,,6840,,,Agent A,1,0,Average
3MD583,Carsome,Denver,Etriga,Maruti,Hatchback,Blue,Automatic,4,4,Hybrid,2021,7300,32702,102,2016-09-29,Un Sold,,5571,,,Agent C,3,0,Good
JVD5IQ,Motor,North Carolina,Fortuner,Toyota,SUV,Black,Automatic,4,4,Diesel,2021,7900,19206,106,2016-10-02,Un Sold,,6608,,,Agent A,4,0,Average
SVN2BE,Cars24,Tennessee,Kags,Renault,SUV,Blue,Automatic,5,4,Electric,2017,9700,57486,289,2016-11-10,Un Sold,,8493,,,Agent C,1,0,Poor
4T9AQP,APE,North Carolina,Swift,Maruti,Sedan,White,Automatic,5,4,Diesel,2015,7500,512061,105,2016-11-18,Un Sold,,6345,,,Agent B,5,0,Average
VBCTHB,Carmudi,Chicago,Yodha,Tata,Truck,Blue,Automatic,4,4,Petrol,2022,7200,26444,106,2024-11-13,Un Sold,,5978,,,Agent A,5,0,Poor
PKJGPV,Zupps,New York,i20,Hyundai,Hatchback,Gray,Automatic,4,4,Hybrid,2024,7000,57810,110,2019-01-18,Un Sold,,5762,,,Agent D,5,0,Excellent
WIOZTJ,Oto,North Carolina,Hilux,Toyota,Truck,Red,Automatic,2,2,Diesel,2019,7600,60743,96,2023-02-17,Un Sold,,6834,,,Agent D,2,0,Excellent
QK17LR,Sobri,Chicago,i20,Hyundai,Hatchback,Black,Manual,5,2,Electric,2016,8300,28914,100,2021-01-13,Un Sold,,7586,,,Agent A,1,0,Good
0D8ZZS,Nufor,Tennessee,Kags,Renault,SUV,White,Manual,5,4,Diesel,2017,8300,42565,241,2015-05-05,Sold,2023-01-04,6629,6641,0.18102277869965305,Agent C,5,0.024,Average
6JAN5C,Sobri,Denver,Fortuner,Toyota,SUV,Blue,Automatic,4,4,Hybrid,2016,9300,18686,109,2015-06-11,Un Sold,,8254,,,Agent A,3,0,Average
VL9QCT,Sobri,Detroit,Yodha,Tata,Truck,Black,Automatic,4,4,Hybrid,2019,8500,16627,167,2022-02-03,Sold,2024-10-11,6625,6618,-0.10566037735849057,Agent C,1,0,Excellent
I03KQ7,Carmix,Chicago,i20,Hyundai,Hatchback,Blue,Manual,5,4,Electric,2023,7600,200159,109,2022-11-22,Un Sold,,5846,,,Agent B,1,0,Poor
AMP1H3,Cars24,Chicago,Swift,Maruti,Sedan,Black,Manual,4,4,Hybrid,2021,7800,33317,99,2015-09-02,Un Sold,,6278,,,Agent C,5,0,Poor
PQGPRN,Automart,Tucson,Scorpio,Mahindra,SUV,Blue,Manual,7,4,Electric,2023,9100,481988,110,2021-09-13,Un Sold,,7974,,,Agent A,1,0,Excellent
VP6VT1,Carsome,Utah,Yodha,Tata,Truck,Red,Manual,4,4,Hybrid,2021,8300,834543,104,2019-04-27,Un Sold,,6867,,,Agent A,1,0,Good
YHELG7,Carro,Oklahoma,Scorpio,Mahindra,SUV,Blue,Automatic,4,4,Diesel,2021,7900,3930,98,2015-05-21,Un Sold,,6442,,,Agent E,5,0,Average
02316P,Marchi,Detroit,Fortuner,Toyota,SUV,Blue,Manual,4,4,Electric,2016,9800,33218,92,2024-09-13,Un Sold,,8258,,,Agent C,1,0,Average
J4ZD1D,Marchi,Detroit,Fortuner,Toyota,SUV,Gray,Manual,4,4,Diesel,2015,8500,67384,99,2020-10-05,Sold,2023-04-28,7625,7632,0.09180327868852459,Agent D,2,0.014,Poor
E40X9C,Marchi,California,i20,Hyundai,Hatchback,Red,Manual,5,2,Electric,2024,7500,462285,106,2016-07-28,Un Sold,,6504,,,Agent C,3,0,Good
55P3LF,Ahg,Florida,Dzire,Maruti,Sedan,Blue,Automatic,4,4,Hybrid,2017,8200,4704,148,2023-04-22,Un Sold,,6626,,,Agent C,3,0,Excellent
DT3QYV,Carmudi,Oklahoma,i20,Hyundai,Hatchback,Gray,Automatic,4,4,Diesel,2018,6700,7901,192,2021-11-28,Un Sold,,5736,,,Agent C,1,0,Good
4JNQX5,Nufor,Texas,Dzire,Maruti,Sedan,Blue,Manual,4,2,Petrol,2020,6900,59235,92,2023-09-01,Un Sold,,5944,,,Agent C,1,0,Good
EYPX7K,Zupps,San Jose,Hilux,Toyota,Truck,White,Automatic,4,4,Petrol,2022,7200,813624,106,2015-11-11,Sold,2017-02-14,6311,6296,-0.23768024084931072,Agent E,4,0,Poor
V48BKW,Kamkar,New York,Plato,Prazo,Convertible,Gray,Manual,5,2,Hybrid,2022,9700,20642,209,2022-06-08,Un Sold,,7956,,,Agent D,3,0,Average
REN0X3,Marchi,California,Hilux,Toyota,Truck,Blue,Manual,4,2,Diesel,2024,7100,51991,90,2019-06-21,Sold,2019-05-19,5179,5171,-0.15446997489862907,Agent E,2,0,Excellent
Y07GNU,Skipper,Denver,Scorpio,Mahindra,SUV,Red,Manual,5,4,Electric,2015,9900,18413,106,2021-03-16,Un Sold,,9389,,,Agent B,2,0,Good
1QUP0X,Marchi,Portland,Swift,Maruti,Sedan,White,Manual,7,5,Petrol,2015,7400,3669,101,2015-09-05,Un Sold,,6245,,,Agent C,4,0,Good
UTL9AP,Knox,Chicago,Yodha,Tata,Truck,Black,Manual,4,4,Petrol,2021,7300,61026,92,2019-06-05,Un Sold,,5427,,,Agent C,1,0,Excellent
5TJKDB,Carro,Utah,Dzire,Maruti,Sedan,Black,Manual,4,4,Diesel,2020,7000,73333,211,2019-11-20,Un Sold,,5464,,,Agent B,4,0,Good
AEWK0P,Ahg,Columbus,Kags,Renault,SUV,Gray,Manual,4,2,Petrol,2015,8400,15417,90,2019-02-09,Sold,2021-09-15,7067,7059,-0.11320220744304516,Agent C,3,0,Excellent
VA4WGK,Carousell,Columbus,Plato,Prazo,Convertible,Gray,Automatic,7,5,Hybrid,2019,10000,1601,97,2023-10-25,Un Sold,,9496,,,Agent D,2,0,Good
ERGOYV,Kamkar,Denver,Scorpio,Mahindra,SUV,White,Manual,5,2,Petrol,2018,8100,63501,97,2016-04-15,Un Sold,,6816,,,Agent C,1,0,Average
LCN6K9,Oto,New York,Swift,Maruti,Sedan,Gray,Manual,5,4,Diesel,2023,6700,41502,97,2022-11-04,Un Sold,,5012,,,Agent C,2,0,Good
BO5GMI,Kamkar,Florida,Scorpio,Mahindra,SUV,Red,Manual,5,2,Diesel,2021,7900,21269,94,2016-03-19,Un Sold,,6884,,,Agent E,4,0,Average
HSU3U8,Ahg,North Carolina,Scorpio,Mahindra,SUV,Red,Automatic,5,2,Diesel,2024,7600,59282,95,2019-01-03,Un Sold,,7098,,,Agent E,4,0,Good
YQA90J,Zupps,Philadelphia,Etriga,Maruti,Hatchback,Black,Manual,5,4,Electric,2022,7700,578576,201,2024-06-02,Un Sold,,6469,,,Agent C,4,0,Excellent
4DEHPN,Carmix,Utah,Fortuner,Toyota,SUV,Blue,Automatic,5,4,Hybrid,2022,8700,16526,294,2017-11-06,Un Sold,,7144,,,Agent C,5,0,Good
6CCYVU,Carmudi,Tucson,Etriga,Maruti,Hatchback,Blue,Manual,5,4,Electric,2021,7800,45835,95,2018-01-30,Sold,2021-08-18,6486,6495,0.13876040703052728,Agent A,5,0.018000000000000002,Average
V0P4I6,Motor,Portland,Kags,Renault,SUV,Red,Manual,5,5,Petrol,2023,7600,27536,322,2017-11-03,Un Sold,,6995,,,Agent D,3,0,Good
0WEV16,Motor,Tennessee,Kags,Renault,SUV,White,Automatic,2,4,Hybrid,2015,9400,23566,107,2015-07-28,Un Sold,,7947,,,Agent D,3,0,Excellent
TV6SHE,Knox,Utah,Thar,Mahindra,SUV,Black,Manual,4,4,Petrol,2024,7500,60519,103,2015-11-17,Sold,2020-07-06,6766,6769,0.04433934377771209,Agent A,3,0.006,Average
BMMZYF,APE,California,Creta,Hyundai,Hatchback,Gray,Automatic,5,2,Hybrid,2022,7200,437132,147,2018-01-20,Un Sold,,5760,,,Agent B,5,0,Good
QOSM6P,Carmix,Texas,Plato,Prazo,Convertible,Black,Manual,4,2,Petrol,2023,8600,20629,98,2023-02-13,Un Sold,,7912,,,Agent D,4,0,Average
F2DGYR,Carmudi,North Carolina,Yodha,Tata,Truck,Red,Manual,4,5,Electric,2021,8800,44863,105,2022-12-12,Un Sold,,8049,,,Agent D,4,0,Excellent
NMWZ43,Carousell,Tennessee,Hilux,Toyota,Truck,Blue,Automatic,4,4,Diesel,2020,7500,65966,96,2019-09-02,Un Sold,,6797,,,Agent C,5,0,Excellent
8NLUBZ,Nufor,Tennessee,Hilux,Toyota,Truck,Blue,Manual,7,4,Diesel,2022,7300,40620,92,2015-12-16,Un Sold,,6416,,,Agent C,3,0,Average
G3J90P,Sobri,Detroit,Swift,Maruti,Sedan,Red,Manual,4,4,Electric,2020,8400,42205,101,2021-12-18,Un Sold,,7118,,,Agent D,5,0,Excellent
M609C6,Skipper,Denver,Seltos,Kia,Hatchback,Blue,Automatic,5,4,Diesel,2015,7000,16726,129,2017-10-28,Sold,2021-03-28,5479,5464,-0.27377258623836465,Agent E,2,0,Excellent
GXWORN,Marchi,Texas,Dzire,Maruti,Sedan,White,Automatic,5,4,Electric,2022,8200,54078,110,2016-01-05,Un Sold,,7293,,,Agent C,5,0,Excellent
TDWUAR,Motor,Detroit,Plato,Prazo,Convertible,Blue,Manual,5,2,Diesel,2019,9100,52926,90,2017-07-24,Un Sold,,7595,,,Agent A,4,0,Excellent
1BK1L8,Carmudi,Madison,Swift,Maruti,Sedan,Red,Manual,7,4,Electric,2015,8900,54414,101,2022-03-02,Un Sold,,6949,,,Agent D,1,0,Good
ILYRTS,Skipper,Chicago,Yodha,Tata,Truck,Black,Automatic,4,4,Electric,2019,9000,5960,96,2015-05-31,Un Sold,,7755,,,Agent C,4,0,Excellent
KS050O,Olx,Utah,Kags,Renault,SUV,Blue,Automatic,4,2,Diesel,2020,8000,386578,143,2022-06-21,Un Sold,,6692,,,Agent A,4,0,Average
W108K9,Trust,North Carolina,i20,Hyundai,Hatchback,White,Automatic,4,2,Electric,2019,8000,7841,106,2021-08-30,Un Sold,,6965,,,Agent D,2,0,Average
QYDFJF,Carmix,Detroit,i20,Hyundai,Hatchback,Red,Manual,5,4,Electric,2024,7500,26079,105,2024-10-07,Un Sold,,5981,,,Agent A,4,0,Excellent
6JK6E7,Automart,Portland,Scorpio,Mahindra,SUV,Black,Automatic,5,2,Diesel,2019,8100,34750,99,2022-01-28,Un Sold,,6245,,,Agent D,5,0,Average
6I3B7A,Nufor,New York,Kags,Renault,SUV,Black,Manual,2,4,Hybrid,2019,9000,15508,106,2021-07-16,Un Sold,,7038,,,Agent B,2,0,Average
Y5G1KY,Kamkar,North Carolina,Plato,Prazo,Convertible,Red,Automatic,4,4,Hybrid,2018,10100,46803,329,2021-03-04,Sold,2021-05-05,8624,8634,0.11595547309833025,Agent A,4,0.02,Excellent
P14MIA,Motor,Utah,Etriga,Maruti,Hatchback,Blue,Manual,5,4,Electric,2016,8300,31945,100,2021-08-30,Un Sold,,7350,,,Agent A,5,0,Excellent
XVFVK8,Cars24,San Jose,Etriga,Maruti,Hatchback,Red,Automatic,4,4,Petrol,2023,6100,53502,97,2019-01-31,Un Sold,,4650,,,Agent B,5,0,Good
X29YWB,Zupps,North Carolina,Yodha,Tata,Truck,Red,Manual,5,4,Electric,2018,9100,980413,208,2016-11-15,Sold,2024-07-02,8318,8326,0.09617696561673479,Agent A,1,0.016,Poor
NGLECN,Oto,Portland,i20,Hyundai,Hatchback,Gray,Manual,4,4,Electric,2019,8000,534012,104,2020-07-15,Un Sold,,7415,,,Agent B,3,0,Average
90P1Q7,Ahg,North Carolina,Seltos,Kia,Hatchback,Black,Manual,5,5,Petrol,2020,6400,58115,105,2024-11-24,Un Sold,,5609,,,Agent B,2,0,Excellent
PVCIJX,Kamkar,Texas,Hilux,Toyota,Truck,Black,Manual,5,2,Electric,2020,8900,31218,106,2024-07-31,Un Sold,,7839,,,Agent E,5,0,Excellent
8OE4V5,Olx,Tucson,Etriga,Maruti,Hatchback,Black,Automatic,4,4,Diesel,2016,6900,8099,174,2016-02-12,Un Sold,,5153,,,Agent E,4,0,Average
8DF4Z7,Sobri,Texas,Kags,Renault,SUV,Gray,Manual,7,4,Diesel,2024,7600,108508,104,2022-12-18,Sold,2022-09-23,5724,5713,-0.19217330538085253,Agent B,3,0,Excellent
Y8Y9DN,Skipper,Detroit,Thar,Mahindra,SUV,Red,Automatic,5,5,Diesel,2017,8300,61254,99,2016-10-14,Sold,2021-05-10,7346,7339,-0.09528995371630819,Agent E,3,0,Excellent
MFYFMN,Skipper,California,Etriga,Maruti,Hatchback,Blue,Automatic,5,2,Diesel,2018,6700,67662,91,2017-10-24,Un Sold,,5304,,,Agent C,3,0,Excellent
8Z264N,Kamkar,Philadelphia,Kags,Renault,SUV,Blue,Automatic,5,4,Diesel,2019,8100,62233,92,2017-11-18,Un Sold,,6525,,,Agent E,4,0,Poor
NUUQJ0,APE,New York,Yodha,Tata,Truck,Black,Automatic,2,4,Diesel,2018,7700,24342,96,2019-10-07,Un Sold,,6725,,,Agent B,2,0,Good
NQDW38,Carmudi,Florida,Creta,Hyundai,Hatchback,Blue,Automatic,5,4,Diesel,2017,6800,31693,104,2022-12-27,Un Sold,,6074,,,Agent C,2,0,Good
7LNQJF,APE,California,Kags,Renault,SUV,Red,Automatic,7,5,Petrol,2022,7700,32400,109,2017-05-19,Un Sold,,6117,,,Agent B,3,0,Poor
158KSQ,Carmudi,North Carolina,Thar,Mahindra,SUV,Gray,Manual,4,4,Petrol,2019,8000,13399,104,2024-07-13,Un Sold,,6293,,,Agent B,4,0,Excellent
YQWJ1Q,Skipper,Philadelphia,Dzire,Maruti,Sedan,Gray,Manual,4,4,Petrol,2020,6900,42982,96,2023-12-01,Sold,2024-12-10,5751,5747,-0.06955312119631368,Agent C,1,0,Good
NRI9EO,Carmix,North Carolina,Creta,Hyundai,Hatchback,Black,Automatic,2,2,Petrol,2017,6700,47361,96,2024-02-03,Un Sold,,4835,,,Agent E,4,0,Poor
8L75IS,Trust,Tennessee,Scorpio,Mahindra,SUV,Blue,Automatic,4,4,Electric,2019,9500,54368,105,2016-07-06,Sold,2024-08-16,8311,8306,-0.06016123210203345,Agent B,1,0,Average
GVBSFL,Knox,Oklahoma,Thar,Mahindra,SUV,White,Manual,5,2,Electric,2021,9300,43036,92,2019-03-25,Un Sold,,7893,,,Agent C,4,0,Excellent
7HX1LM,Carmix,Denver,Scorpio,Mahindra,SUV,White,Automatic,5,5,Hybrid,2016,9300,10934,104,2019-08-02,Un Sold,,8781,,,Agent D,4,0,Good
ZZOFB7,Cars24,Madison,Swift,Maruti,Sedan,Blue,Automatic,4,5,Electric,2015,8900,8776,109,2016-07-16,Sold,2018-06-08,6995,6981,-0.20014295925661185,Agent E,3,0,Good
7PPTER,APE,Tennessee,Creta,Hyundai,Hatchback,Blue,Manual,7,5,Petrol,2020,6400,32122,109,2015-02-27,Un Sold,,5800,,,Agent E,1,0,Poor
KMGUJK,Trivett,Tucson,Thar,Mahindra,SUV,White,Automatic,4,2,Electric,2017,9700,3029,330,2018-08-15,Un Sold,,8670,,,Agent A,1,0,Excellent
WS3C6H,Marchi,Oklahoma,Dzire,Maruti,Sedan,Red,Automatic,4,4,Petrol,2022,6700,8235,92,2017-01-04,Un Sold,,5880,,,Agent C,4,0,Excellent
IXKWL9,Motor,Columbus,Fortuner,Toyota,SUV,White,Automatic,4,2,Electric,2019,9500,64851,348,2018-03-12,Un Sold,,8031,,,Agent D,2,0,Excellent
MELWA2,Trivett,Tucson,Seltos,Kia,Hatchback,Red,Automatic,5,2,Electric,2019,8000,35157,166,2024-07-17,Un Sold,,6484,,,Agent C,2,0,Good
DXLMJA,Trivett,California,Kags,Renault,SUV,White,Manual,5,4,Electric,2016,9800,42935,106,2022-05-13,Sold,2024-06-21,8198,8197,-0.01219809709685289,Agent E,4,0,Average
U4CON2,Skipper,Tucson,Kags,Renault,SUV,Gray,Manual,7,4,Diesel,2015,8500,728161,302,2019-08-07,Un Sold,,6711,,,Agent D,3,0,Good
5U9ON6,APE,Texas,Swift,Maruti,Sedan,Gray,Manual,4,2,Hybrid,2023,7600,31946,102,2020-06-17,Un Sold,,5962,,,Agent E,1,0,Excellent
YKQ73Z,Marchi,Denver,Swift,Maruti,Sedan,Red,Automatic,4,4,Electric,2017,8700,315710,104,2017-05-06,Un Sold,,7726,,,Agent E,3,0,Average
IP962U,Carmix,Detroit,Hilux,Toyota,Truck,Blue,Manual,5,5,Diesel,2023,7200,70199,99,2024-04-20,Un Sold,,5428,,,Agent C,5,0,Average
CU0NOP,Knox,Portland,Fortuner,Toyota,SUV,White,Automatic,7,4,Diesel,2023,7700,6230,101,2016-05-06,Sold,2021-06-30,7015,7007,-0.11404133998574484,Agent B,1,0,Excellent
JA5F7R,Cars24,California,i20,Hyundai,Hatchback,Blue,Automatic,4,5,Petrol,2024,6000,43488,100,2021-10-27,Un Sold,,4036,,,Agent C,3,0,Poor
TKL1VI,Automart,Florida,Swift,Maruti,Sedan,Gray,Automatic,5,4,Hybrid,2016,8300,18052,101,2023-03-29,Un Sold,,6916,,,Agent C,5,0,Good
XHP6O7,Oto,Madison,i20,Hyundai,Hatchback,White,Automatic,5,4,Diesel,2022,6300,112533,244,2023-05-31,Un Sold,,5147,,,Agent D,5,0,Average
LLS1VO,Automart,Denver,Dzire,Maruti,Sedan,Red,Manual,5,4,Hybrid,2021,7800,30782,100,2022-06-07,Sold,2023-04-23,6368,6353,-0.23555276381909546,Agent E,2,0,Poor
8ZIG9Z,APE,New York,Thar,Mahindra,SUV,Gray,Manual,5,4,Diesel,2024,7600,53547,90,2024-10-29,Un Sold,,5949,,,Agent D,4,0,Excellent
VC45EV,Nufor,Texas,Seltos,Kia,Hatchback,Blue,Automatic,2,4,Diesel,2022,6300,62564,103,2018-02-21,Un Sold,,4795,,,Agent B,3,0,Excellent
Y6JCOE,APE,Tennessee,Kags,Renault,SUV,Blue,Automatic,5,4,Electric,2015,9900,6753,94,2020-07-29,Sold,2024-05-15,9371,9368,-0.03201365916124213,Agent B,5,0,Excellent
0L0VWD,Motor,Tennessee,Plato,Prazo,Convertible,Gray,Manual,4,4,Electric,2019,10500,35320,93,2019-02-07,Un Sold,,9635,,,Agent D,2,0,Excellent
137WPZ,Carousell,Denver,Kags,Renault,SUV,White,Automatic,5,4,Petrol,2015,8400,67695,102,2019-03-15,Un Sold,,6676,,,Agent A,2,0,Average
3S8174,APE,San Jose,Yodha,Tata,Truck,Black,Automatic,5,2,Electric,2023,8600,56307,109,2016-07-25,Un Sold,,7855,,,Agent B,1,0,Excellent
IIHY0F,Carro,Chicago,Dzire,Maruti,Sedan,Red,Automatic,7,4,Diesel,2015,7500,56628,103,2019-08-06,Un Sold,,6829,,,Agent A,5,0,Average
6ISVMI,Carmudi,Oklahoma,Seltos,Kia,Hatchback,Blue,Manual,5,2,Diesel,2018,6700,867875,90,2016-02-07,Un Sold,,5790,,,Agent A,3,0,Excellent
KUAVMB,Automart,San Jose,Plato,Prazo,Convertible,Red,Manual,5,4,Petrol,2017,9200,24225,94,2019-10-24,Un Sold,,7362,,,Agent C,4,0,Good
3VLX52,Knox,California,Swift,Maruti,Sedan,Blue,Manual,5,2,Electric,2023,8100,68486,323,2018-05-20,Sold,2020-03-30,6741,6754,0.19284972556000593,Agent E,1,0.026000000000000002,Excellent
47L86K,Trivett,Oklahoma,Creta,Hyundai,Hatchback,Black,Automatic,4,4,Electric,2016,8300,25963,227,2021-04-05,Un Sold,,7212,,,Agent A,4,0,Good
2HXSN7,Carmudi,Columbus,i20,Hyundai,Hatchback,Blue,Manual,4,4,Electric,2022,7700,22953,132,2017-11-23,Un Sold,,7046,,,Agent D,1,0,Poor
7PYAT4,Olx,Philadelphia,Etriga,Maruti,Hatchback,Blue,Manual,5,4,Diesel,2016,6900,67632,92,2022-02-12,Un Sold,,5998,,,Agent C,2,0,Good
0WWI2N,Ahg,Utah,Hilux,Toyota,Truck,Blue,Automatic,4,2,Electric,2023,8600,25231,95,2018-02-26,Un Sold,,6837,,,Agent C,5,0,Excellent
LYDCBL,Carro,Texas,Creta,Hyundai,Hatchback,Black,Manual,4,4,Diesel,2022,6300,39062,93,2020-01-22,Sold,2021-05-20,4475,4490,0.33519553072625696,Agent D,3,0.03,Excellent
3M69WX,Nufor,North Carolina,Seltos,Kia,Hatchback,Blue,Automatic,5,5,Diesel,2019,6600,39698,311,2016-02-05,Un Sold,,5787,,,Agent C,3,0,Excellent
5AI6YB,Trivett,New York,Kags,Renault,SUV,White,Automatic,5,2,Electric,2019,9500,3822,338,2024-11-12,Un Sold,,8611,,,Agent C,5,0,Excellent
51ONRP,Ahg,Oklahoma,Plato,Prazo,Convertible,Blue,Manual,5,5,Electric,2023,10100,4749,97,2022-05-31,Un Sold,,9295,,,Agent A,2,0,Excellent
EDWGXY,APE,Detroit,i20,Hyundai,Hatchback,Blue,Automatic,4,5,Petrol,2020,6400,345831,298,2021-08-07,Un Sold,,4796,,,Agent C,4,0,Poor
69RUUY,Carro,Denver,Thar,Mahindra,SUV,Blue,Manual,4,4,Hybrid,2024,8500,60372,105,2016-01-11,Un Sold,,6530,,,Agent E,1,0,Good
L0WXXZ,Kamkar,North Carolina,Yodha,Tata,Truck,Gray,Automatic,5,4,Diesel,2021,7400,17291,93,2024-07-16,Un Sold,,5660,,,Agent C,3,0,Average
5GBGVS,Knox,Detroit,Hilux,Toyota,Truck,Blue,Automatic,5,2,Diesel,2019,7600,705776,104,2020-10-19,Sold,2022-08-22,5823,5828,0.08586639189421261,Agent E,1,0.01,Excellent
JE3EDE,Olx,Detroit,i20,Hyundai,Hatchback,Blue,Automatic,2,5,Petrol,2018,6600,17661,103,2015-12-13,Un Sold,,5058,,,Agent C,1,0,Good
4EX0P0,Carro,Columbus,Seltos,Kia,Hatchback,Blue,Manual,4,4,Hybrid,2019,7500,17011,179,2018-08-12,Un Sold,,6289,,,Agent A,4,0,Excellent
BRTKRX,Oto,Detroit,i20,Hyundai,Hatchback,Red,Manual,5,4,Electric,2022,7700,49324,108,2020-06-17,Sold,2024-02-22,6220,6225,0.08038585209003216,Agent E,5,0.01,Excellent
B8F022,Marchi,Madison,Plato,Prazo,Convertible,Red,Manual,5,2,Electric,2021,10300,45977,169,2024-02-19,Sold,2024-04-20,8932,8917,-0.16793551276309898,Agent E,1,0,Average
TW4C3M,Cars24,Chicago,Plato,Prazo,Convertible,Red,Manual,4,5,Diesel,2023,8700,50614,93,2019-08-06,Un Sold,,8125,,,Agent D,4,0,Excellent
A42TC6,Sobri,Utah,Hilux,Toyota,Truck,Blue,Manual,4,2,Petrol,2016,7800,13553,98,2024-07-31,Un Sold,,7226,,,Agent D,3,0,Good
D2PPD8,Trivett,Chicago,Thar,Mahindra,SUV,Blue,Automatic,4,4,Petrol,2017,8200,5937,106,2023-10-25,Un Sold,,6972,,,Agent C,5,0,Good
O7HX3N,Carousell,Florida,Plato,Prazo,Convertible,Black,Manual,4,2,Petrol,2019,9000,6269,344,2018-04-17,Un Sold,,8111,,,Agent C,3,0,Good
UDW86Q,Oto,Madison,Creta,Hyundai,Hatchback,Red,Manual,5,4,Hybrid,2020,7400,11460,102,2022-09-02,Un Sold,,5809,,,Agent E,5,0,Average
9W0GBH,Knox,Florida,Scorpio,Mahindra,SUV,Red,Automatic,4,2,Electric,2022,9200,41012,106,2016-05-22,Un Sold,,7887,,,Agent C,5,0,Excellent
81U97E,Oto,Columbus,Hilux,Toyota,Truck,Red,Manual,4,2,Petrol,2020,7400,25981,167,2022-01-04,Un Sold,,6374,,,Agent D,1,0,Excellent
J94M0Q,Sobri,Denver,Etriga,Maruti,Hatchback,Blue,Automatic,7,4,Diesel,2018,6700,54516,100,2023-06-22,Un Sold,,5080,,,Agent C,3,0,Excellent
